,Company Name,Industry,Symbol,Series,ISIN Code,nifty100,nifty200,nifty500,nifty500Multicap502525,nifty50,niftylargemidcap250,niftymicrocap250,niftymidcap100,niftymidcap150,niftymidcap50,niftymidcapselect,niftymidsmallcap400,niftynext50,niftysmallcap100,niftysmallcap250,niftysmallcap50
165,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,,1,1,1,,1,,1,1,,,1,,,,
166,Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,,1,1,1,,1,,1,1,,,1,,,,
167,Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,,1,1,1,,1,,1,1,,,1,,,,
168,Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,,1,1,1,,1,,1,1,,,1,,,,
169,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,,1,1,1,,1,,1,1,,,1,,,,
170,Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,,1,1,1,,1,,1,1,1,,1,,,,
171,PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,,1,1,1,,1,,1,1,,,1,,,,
172,Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,,1,1,1,,1,,1,1,1,1,1,,,,
173,Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01013,,1,1,1,,1,,1,1,,1,1,,,,
174,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,,1,1,1,,1,,1,1,1,,1,,,,
175,Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,,1,1,1,,1,,1,1,,,1,,,,
176,Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,,1,1,1,,1,,1,1,1,,1,,,,
177,Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,,1,1,1,,1,,1,1,,,1,,,,
178,REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,,1,1,1,,1,,1,1,1,,1,,,,
179,Shriram Transport Finance Co. Ltd.,Financial Services,SRTRANSFIN,EQ,INE721A01013,,1,1,1,,1,,1,1,1,1,1,,,,
180,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,,1,1,1,,1,,1,1,,,1,,,,
181,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027,,1,1,1,,1,,1,1,1,,1,,,,
182,Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,,1,1,1,,1,,1,1,,,1,,,,
183,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,,1,1,1,,1,,1,1,1,1,1,,,,
184,Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,,1,1,1,,1,,1,1,,,1,,,,
185,Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,,1,1,1,,1,,1,1,1,,1,,,,
186,Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,,1,1,1,,1,,1,1,,,1,,,,
187,Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,,1,1,1,,1,,1,1,1,1,1,,,,
188,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,,1,1,1,,1,,1,1,1,,1,,,,
189,Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,,1,1,1,,1,,1,1,1,,1,,,,
190,Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,,1,1,1,,1,,1,1,1,1,1,,,,
191,Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022,,1,1,1,,1,,1,1,,,1,,,,
192,Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,,1,1,1,,1,,1,1,,,1,,,,
193,United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,,1,1,1,,1,,1,1,1,,1,,,,
194,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01013,,1,1,1,,1,,1,1,,,1,,,,
195,Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,,1,1,1,,1,,1,1,1,,1,,,,
196,Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,,1,1,1,,1,,1,1,1,1,1,,,,
197,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,,1,1,1,,1,,1,1,,,1,,,,
198,Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,,1,1,1,,1,,1,1,,,1,,,,
199,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028,,1,1,1,,1,,1,1,1,1,1,,,,
200,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,,,1,1,,1,,,1,,,1,,,,
201,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,,,1,1,,1,,,1,,,1,,,,
202,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,,,1,1,,1,,,1,,,1,,,,
203,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016,,,1,1,,,,,,,,1,,,1,
204,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,,,1,1,,1,,,1,,,1,,,,
205,Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,,,1,1,,,,,,,,1,,,1,
206,Advanced Enzyme Tech Ltd.,Fast Moving Consumer Goods,ADVENZYMES,EQ,INE837H01020,,,1,1,,,,,,,,1,,,1,
